path,transcription,action,object,location
wavs/speakers/xRQE5VD7rRHVdyvM/7372ca00-45c4-11e9-8ec0-7bf21d1cfe30.wav,Turn on the kitchen lights,activate,lights,kitchen
wavs/speakers/R3mexpM2YAtdPbL7/dae28110-44fe-11e9-a1ea-79ca03012c0e.wav,Turn up the temperature,increase,heat,none
wavs/speakers/ZebMRl5Z7dhrPKRD/b55dcfd0-455d-11e9-aa52-bf2189a03a60.wav,OK now switch the main language to Chinese,change language,Chinese,none
wavs/speakers/ppzZqYxGkESMdA5Az/61c54a20-4476-11e9-a9a5-5dbec3b8816a.wav,Turn down the bathroom temperature,decrease,heat,washroom
wavs/speakers/zaEBPeMY4NUbDnZy/8ef57ec0-44df-11e9-a8b6-e96f2628bf65.wav,Change the language,change language,none,none
wavs/speakers/W4XOzzNEbrtZz4dW/8a1fedc0-44d2-11e9-a8b6-e96f2628bf65.wav,Turn sound down,decrease,volume,none
wavs/speakers/8e5qRjN7dGuovkRY/92366b20-459e-11e9-bf4b-216bfa333ac2.wav,Decrease the heating in the washroom,decrease,heat,washroom
wavs/speakers/W4XOzzNEbrtZz4dW/d40180c0-44d2-11e9-a8b6-e96f2628bf65.wav,"It’s too loud, turn it down",decrease,volume,none
wavs/speakers/g2dnA9Wpvzi2WAmZ/694d7090-454a-11e9-aa52-bf2189a03a60.wav,Change language,change language,none,none
wavs/speakers/5BEzPgPKe8taG9OB/b9b56e80-457b-11e9-9600-8f19ade2128c.wav,Turn the lights on in the kitchen,activate,lights,kitchen
wavs/speakers/xRQE5VD7rRHVdyvM/6fe6f940-45c6-11e9-8ec0-7bf21d1cfe30.wav,Decrease the heating in the bedroom,decrease,heat,bedroom
wavs/speakers/BvyakyrDmQfWEABb/abd3b960-45fe-11e9-bc65-55b32b211b66.wav,Turn up the heat in the washroom,increase,heat,washroom
wavs/speakers/anvKyBjB5OiP5dYZ/90f8f3d0-4577-11e9-9600-8f19ade2128c.wav,Decrease the heating in the bedroom,decrease,heat,bedroom
wavs/speakers/gNYvkbx3gof2Y3V9/59747f30-44e4-11e9-bb82-bdba769643e7.wav,Turn the bedroom heat up,increase,heat,bedroom
wavs/speakers/xRQE5VD7rRHVdyvM/c0d09600-45c5-11e9-8ec0-7bf21d1cfe30.wav,Increase the temperature,increase,heat,none
wavs/speakers/EExgNZ9dvgTE3928/ee3f2770-4613-11e9-bc65-55b32b211b66.wav,Increase the heating in the washroom,increase,heat,washroom
wavs/speakers/Gym5dABePPHA8mZK9/785075b0-45ef-11e9-aa19-e96346c3828f.wav,Turn down the washroom temperature,decrease,heat,washroom
wavs/speakers/52XVOeXMXYuaElyw/97136570-45c7-11e9-8ec0-7bf21d1cfe30.wav,Turn the temperature down in the bathroom,decrease,heat,washroom
wavs/speakers/DMApMRmGq5hjkyvX/0b5a4de0-45dc-11e9-81ce-69b74fd7e64e.wav,Turn the temperature down in the washroom,decrease,heat,washroom
wavs/speakers/RjDBre8jzzhdr4YL/91513b60-4416-11e9-85a0-dd11eb2f13b6.wav,Set the language,change language,none,none
wavs/speakers/WYmlNV2rDkSaALOE/f3cb5570-4437-11e9-beaa-1f3e1eab7bff.wav,Heat down,decrease,heat,none
wavs/speakers/jgxq52DoPpsR9ZRx/97a12490-4519-11e9-9035-7943ec3b842a.wav,I need to practice my English. Switch the language,change language,English,none
wavs/speakers/ywE435j4gVizvw3R/c7d8aa60-4501-11e9-a1ea-79ca03012c0e.wav,"I need to hear this, increase the volume",increase,volume,none
wavs/speakers/2BqVo8kVB2Skwgyb/f13a75f0-447a-11e9-a9a5-5dbec3b8816a.wav,OK now switch the main language to Chinese,change language,Chinese,none
wavs/speakers/xEYa2wgAQof3wyEO/91fabcf0-4536-11e9-b1e4-e5985dca719e.wav,Turn the lamp off,deactivate,lamp,none
